item_id,question_id,correct,judge_verdict,human_label,p_correct_bayesian,p_correct_logreg
0000c89e3064e231,139,True,B,B,0.9307111144065857,0.9310110579794187
002417ebbbf5d6ed,100,True,B,B,0.9067543089389801,0.9080388250321375
00343d30968973ef,138,True,A,A,0.43110981285572053,0.4299747557649522
00354c3a0163c165,85,True,A,A,0.9065252602100372,0.9077693292743134
0036197ad8caedd9,89,False,A,B,0.4189589321613312,0.4196415483274259
003a725089f2dc63,142,True,A,A,0.8052534401416779,0.8065431198127223
00535b66b93d6b1d,131,True,B,B,0.7550842702388764,0.7557874061357588
0055bcd17568b6e5,151,True,A,A,0.8673189282417297,0.8711576263035244
00afc0a7fdc55647,110,True,B,B,0.9051443219184876,0.9064500560786477
00b4bcbc3f27436d,93,False,A,B,0.34738350510597227,0.3527401906539403
00bd51fd8d75086e,81,True,A,A,0.8653978645801544,0.8693602314744814
00cfd9fa61f81584,85,False,A,B,0.4273995339870453,0.4351622306636595
011597f9936f5d49,98,False,A,B,0.42782395482063296,0.4339570251332899
01805e49662d2235,152,False,A,B,0.4194102197885513,0.4267292756441938
01d69da35c17751c,90,True,A,A,0.4502341717481613,0.44437621299560676
020abd92a8e68184,99,False,A,B,0.35970193445682525,0.36078249923325056
0240d5945e44aabd,120,True,A,A,0.9064073503017426,0.9076196249353619
024fda917e530aa9,133,True,B,B,0.8406529784202575,0.8512621684055027
024ff8474fe9abc8,129,True,A,A,0.9323217988014221,0.9325808762977615
02504297008c88fb,108,False,A,B,0.5828209698200226,0.583107841827116
025fbef5e3544acd,146,True,A,A,0.9051434576511384,0.9064971627332488
0266e7ef16f1e967,96,True,B,B,0.9076018095016479,0.9091304552471934
02b5d99fe3ae987d,83,True,B,B,0.9050345659255982,0.9062739978140195
02bc773a50cd75c3,118,True,A,A,0.8524223864078522,0.8526822939703338
02c2a72b0d9c7966,81,True,B,B,0.9063980519771576,0.9077066038329413
02e6a33cc5e92612,91,True,B,B,0.9066595494747162,0.9079458795492605
0321f640646865e3,93,True,A,A,0.9043322026729583,0.9057933405008886
03282903e4925c91,93,True,A,A,0.903790807723999,0.905256370649211
03283ae65e163af7,113,True,A,A,0.469734188914299,0.4640400637016266
037b826f3de28bfc,101,True,B,B,0.9329218208789826,0.9333231411243382
037d5d52095973e1,144,True,A,A,0.9053172051906586,0.9066938410779652
03acda5e560c59d0,97,True,B,B,0.9085803031921387,0.9097516465960391
03c24b709bacfa46,159,True,B,B,0.9073648691177368,0.9087537071566907
03d97f51c3b7f7b1,123,True,A,A,0.9070916116237641,0.9084377307712522
04023690fa73c0d5,140,True,B,B,0.7422626733779907,0.7425501838080765
0404b7fedc3a4b34,142,True,A,A,0.5040187269449234,0.5094914785514859
0408364bdeab5338,129,True,B,B,0.9323217868804932,0.9325808698389879
041efbb47e37f88f,155,True,A,A,0.906199038028717,0.9075578469289448
044e7bf0c61c6b6e,88,True,A,A,0.7307543337345124,0.7353224090759517
045ea2274b643e6d,104,True,B,B,0.9331424236297607,0.9336493858128982
048c9afa99a3965f,140,True,A,A,0.9337338030338287,0.9341269623059691
0493f7837c112dff,121,True,A,A,0.5203803360462189,0.5212466439397463
04c0836af4a99172,101,True,B,B,0.3551840275526047,0.3558737652561666
04cec1bb0939d0c9,151,True,B,B,0.829493373632431,0.8335682949761969
04e829f94b3a52fe,133,True,A,A,0.933002370595932,0.933483088311372
0510ac619020668f,128,True,A,A,0.2743992507457733,0.26982582107741104
0596e01b37d97076,138,True,A,A,0.8135592401027679,0.8146759806804098
059aa9abeddb4beb,86,True,A,A,0.7383445680141449,0.7422592825707899
05a0db92076e90fb,99,False,A,B,0.7186416149139404,0.7223562717914422
05b9f0a047651e12,124,True,A,A,0.8708128690719604,0.872375241543254
05f04fce28dff1ca,115,True,A,A,0.3742354243993759,0.37224525831961663
05fcc8cd86692538,151,True,A,A,0.5197850197553635,0.520327070504826
06011b0368555b19,127,True,B,B,0.9293082177639007,0.9297080099897151
0607b9a2a6f8cde6,134,False,B,A,0.8870939075946808,0.8881570961595541
0608cd3939c77f00,123,False,B,A,0.9070914566516877,0.9084375998260933
